step	pg1
0	0.00034
1	0.00068614
2	0.001018024
3	0.0013356519999999999
4	0.0016390240000000002
5	0.001802
6	0.0017624
7	0.0017228
8	0.0016832000000000001
9	0.0016436000000000003
10	0.0016040000000000002
11	0.0015644
12	0.0015248
13	0.0014852
14	0.0014456
15	0.001406
16	0.0013663999999999998
17	0.0013267999999999997
18	0.0012872
19	0.0012476
20	0.001208
21	0.0011684000000000002
22	0.0011288000000000001
23	0.0010892000000000002
24	0.0010496000000000001
25	0.00101
26	0.0009704
27	0.0009308
28	0.0008911999999999999
29	0.0008516000000000001
