step	mAP50-95(B)
0	0.12996
1	0.07767
2	0.33871
3	0.27568
4	0.00436
5	0.07093
6	0.04159
7	0.37544
8	0.35254
9	0.42563
10	0.42193
11	0.41921
12	0.43122
13	0.43809
14	0.44039
15	0.47641
16	0.46727
17	0.4574
18	0.46762
19	0.47676
20	0.48028
21	0.49184
22	0.48196
23	0.44836
24	0.47314
25	0.48606
26	0.4731
27	0.48407
28	0.47528
29	0.48919
30	0.4739
31	0.4902
32	0.49492
33	0.49608
34	0.50998
35	0.49424
36	0.50674
37	0.50402
38	0.49729
39	0.5094
40	0.47485
41	0.49329
42	0.49592
43	0.51096
44	0.50951
45	0.50605
46	0.51047
47	0.51691
48	0.50749
49	0.5098
