step	recall(B)
0	0.93939
1	0.83838
2	0.36364
3	0.43434
4	0.31313
5	0.30406
6	0.66667
7	0.68687
8	0.6857
9	0.79798
10	0.76768
11	0.75758
12	0.73311
13	0.71717
14	0.76012
15	0.79798
16	0.77913
17	0.72727
18	0.80808
19	0.80808
20	0.77778
21	0.76768
22	0.81818
23	0.78788
24	0.72727
25	0.77778
26	0.74747
27	0.79945
28	0.84848
29	0.77778
30	0.81818
31	0.81681
32	0.77778
33	0.80375
34	0.7933
35	0.82828
36	0.82801
37	0.81818
38	0.81818
39	0.81818
40	0.75758
41	0.80764
42	0.77778
43	0.78279
44	0.78788
45	0.79798
46	0.79798
47	0.80808
48	0.80808
49	0.80808
