step	box_loss
0	1.49005
1	1.42662
2	1.47065
3	1.46018
4	1.47227
5	1.50802
6	1.49835
7	1.48023
8	1.4376
9	1.42459
10	1.39351
11	1.39575
12	1.33381
13	1.35903
14	1.33624
15	1.32671
16	1.29547
17	1.31802
18	1.30527
19	1.26385
20	1.27144
21	1.25951
22	1.26152
23	1.16942
24	1.24799
25	1.2474
26	1.21146
27	1.1855
28	1.16187
29	1.15836
30	1.17208
31	1.13305
32	1.13811
33	1.09231
34	1.1548
35	1.15658
36	1.11412
37	1.09699
38	1.06551
39	1.09913
40	1.05443
41	1.05434
42	1.02771
43	1.02459
44	1.00544
45	0.97524
46	1.00526
47	0.93622
48	0.95917
49	0.95916
