step	cls_loss
0	3.02413
1	1.98727
2	1.77332
3	1.61282
4	1.59108
5	1.48475
6	1.45879
7	1.34513
8	1.23457
9	1.16416
10	1.1566
11	1.07204
12	1.06371
13	1.01541
14	0.96449
15	0.96404
16	0.92483
17	0.92438
18	0.93467
19	0.87309
20	0.84493
21	0.81313
22	0.80869
23	0.78401
24	0.78858
25	0.77297
26	0.74605
27	0.72746
28	0.72094
29	0.70567
30	0.70812
31	0.70004
32	0.69186
33	0.65721
34	0.66013
35	0.69539
36	0.66736
37	0.63885
38	0.627
39	0.6537
40	0.65463
41	0.62049
42	0.58547
43	0.5738
44	0.56148
45	0.55927
46	0.54403
47	0.51991
48	0.52722
49	0.52394
